"clinical_product_rxcui","dose_form_rxcui"
"1595770","316945"
"249329","317541"
"313572","316949"
"898316","721656"
"315213","91058"
"1048124","316945"
"200346","316965"
"1987013","317007"
"1237060","346163"
"2170990","1649570"
"1435115","1649571"
"904444","316949"
"1806197","316943"
"2003179","316968"
"2568118","316942"
"865073","346165"
"1116173","317541"
"1193331","317541"
"1356838","316968"
"644148","126542"
"2176001","317541"
"1812170","1649574"
"1729320","1797831"
"830243","721656"
"1312970","316965"
"852596","316949"
"891451","91058"
"857328","317541"
"313212","1649574"
"239209","316949"
"998232","7670"
"1483552","317541"
"1148809","316945"
"2099778","346286"
"807832","316945"
"198899","317541"
"311451","152903"
"2359279","316945"
"199637","316965"
"2044730","316945"
"2398511","317541"
"853136","1792831"
"1731545","1649574"
"866479","317541"
"197698","317541"
"1670011","1649571"
"905111","316949"
"314111","317541"
"309362","317541"
"851747","316949"
"2475536","316983"
"1011739","317541"
"1117536","797271"
"803348","316965"
"2393795","316968"
"310693","316999"
"200183","316965"
"852157","316949"
"2196894","316945"
"1047916","1649574"
"2531383","316955"
"313222","317541"
"897584","316943"
"1734921","1649574"
"205104","106332"
"1046406","1649574"
"1115877","317541"
"1011710","317541"
"2055281","316964"
"900976","316949"
"894863","316965"
"311499","316985"
"1745103","1649570"
"251292","317541"
"889636","316949"
"863628","316945"
"1729045","317541"
"283438","316986"
"894942","316943"
"804544","316964"
"889590","316949"
"692695","317541"
"2559400","316985"
"309042","316969"
"2594980","1649574"
"2479045","721656"
"477347","91058"
"705909","316968"
"313428","317541"
"1656318","1649574"
"311422","316949"
"1604349","316965"
"245723","346286"
"310027","1649574"
"859186","316965"
"1098138","721656"
"1116730","346286"
"902574","346286"
"636337","317541"
"644287","1792831"
"2370172","316965"
"308657","316956"
"1242399","316945"
"1039339","316986"
"757599","317541"
"544118","346286"
"1857915","317541"
"1251011","346165"
"866042","317541"
"1366022","317541"
"1547580","721656"
"198893","317541"
"1114127","316995"
"1537807","317541"
"895922","316949"
"198546","317541"
"1871464","91058"
"1797855","1797831"
"1424919","316968"
"1310533","317541"
"884386","317541"
"1858995","1649571"
"1192764","316949"
"849410","317541"
"427457","317541"
"200327","317541"
"1873983","317541"
"994289","316968"
"2046374","721656"
"884698","1649574"
"349467","317541"
"1251617","7067"
"797730","797271"
"1607796","317541"
"855324","317541"
"240428","106332"
"2049890","1649574"
"1308432","1861409"
"2199679","317541"
"1116572","316968"
"314040","316943"
"863619","316945"
"199739","1649574"
"2283049","1649574"
"2260704","721656"
"308979","317541"
"994005","10312"
"1299021","317541"
"861700","316995"
"1488302","1649574"
"857391","317541"
"896021","744995"
"412115","316965"
"199106","316969"
"1792396","152903"
"596936","317678"
"616483","317541"
"1049228","346286"
"762857","721656"
"2279431","346289"
"198496","346169"
"198880","316985"
"1147685","317541"
"829757","1649574"
"197884","317541"
"1552282","316986"
"198553","317541"
"198057","316965"
"1807886","316945"
"1795477","1649574"
"312773","317541"
"1790219","1649574"
"1730192","316968"
"854876","317541"
"1593110","317541"
"403920","1649574"
"1718962","1649574"
"861459","316949"
"259910","317541"
"1085736","346165"
"1102273","317541"
"1052684","316982"
"852318","316949"
"250697","346286"
"1294619","316965"
"899761","316999"
"1053741","317541"
"1731990","1649574"
"1012384","316949"
"347151","317541"
"1745112","721656"
"1085996","316950"
"664981","316985"
"1718913","1649574"
"252016","1649574"
"846045","346289"
"1091225","316945"
"1045456","1649574"
"311448","1649574"
"1595471","316995"
"2368128","317541"
"1089831","316982"
"757466","317541"
"2371060","2269578"
"1361201","317009"
"583152","316956"
"1721474","1649574"
"1436933","316982"
"808520","316986"
"1923484","1649574"
"895067","316949"
"242679","317541"
"608623","316942"
"434413","316992"
"308939","346286"
"903305","317541"
"2371766","316965"
"826650","317541"
"1368403","317541"
"836641","317007"
"198196","317541"
"808753","316945"
"855642","346286"
"543806","316968"
"2288425","317541"
"1736048","1861409"
"313941","346286"
"1246075","316983"
"1251614","317541"
"1551286","316968"
"204416","316949"
"1658065","1649574"
"1044286","126542"
"283257","346286"
"308966","1649574"
"2056895","317541"
"308693","316982"
"1367227","317541"
"2560237","317541"
"1860151","316945"
"309048","316969"
"245613","316983"
"1148498","316965"
"1098435","317541"
"351107","316942"
"583084","316978"
"1735006","1649574"
"1052943","7670"
"966958","316949"
"251856","317541"
"905222","317541"
"637149","316985"
"616469","316992"
"852243","316949"
"1091723","721656"
"198049","317541"
"866449","91058"
"809220","316954"
"1547225","316965"
"904413","316949"
"2380603","721656"
"995108","316969"
"359595","7670"
"2539943","316965"
"2003400","317009"
"199301","316965"
"2058930","317541"
