"ndc9","dose_form_rxcui"
"164770201","316978"
"000650645","316964"
"005361307","7670"
"713351216","317541"
"294851887","317541"
"000882502","1649571"
"001439597","317541"
"799530500","797271"
"556700163","317541"
"662671302","317541"
"000536871","1797831"
"553190481","316965"
"000851425","316965"
"672961657","316969"
"412500778","316965"
"301420023","316969"
"103370803","346286"
"002809030","106332"
"301420362","10652"
"505800550","317541"
"002470394","316982"
"633230462","1649574"
"526522001","316968"
"525840137","721656"
"005970395","316945"
"641930324","1649574"
"713351023","317541"
"134110119","317541"
"001350512","316992"
"422910548","317541"
"502680547","316945"
"501020231","317541"
"802040022","346286"
"738230755","346286"
"590880114","316965"
"672340008","316982"
"000851368","1649574"
"250100305","316965"
"434730115","346286"
"678770615","316945"
"003630459","316968"
"724760218","316983"
"615778122","316982"
"640110301","1649570"
"638680587","317541"
"581600811","721656"
"593900218","7670"
"009443810","1649574"
"802040035","797271"
"730570346","317541"
"636297825","317541"
"004069911","316965"
"685995807","797271"
"701990004","317541"
"188600101","316942"
"757420004","346286"
"499990633","317541"
"774350016","797271"
"619582902","1649574"
"415200664","7067"
"640090333","346285"
"412500663","317541"
"582320403","316985"
"000097168","1649574"
"682290403","797271"
"680220265","317541"
"004562010","317541"
"000104705","721656"
"106310092","316983"
"243850519","316968"
"633230468","1649574"
"588640605","317541"
"662670187","317541"
"682290200","346286"
"119170043","317541"
"693150301","316975"
"698004202","1649574"
"739920105","346286"
"639410095","317541"
"638680821","7670"
"599350003","316982"
"711800003","316982"
"680250069","317541"
"680710361","316945"
"628560125","721656"
"411670067","316965"
"499990424","316982"
"449461008","91058"
"006158331","317541"
"696040204","1649574"
"118220940","316968"
"000725300","316955"
"522680302","1540455"
"000251011","317541"
"778450100","797271"
"636291242","317541"
"745280060","317691"
"299780127","316968"
"585520131","316968"
"649421620","106332"
"623720400","91058"
"717340266","797271"
"594170118","91058"
"464143333","316959"
"001870650","316965"
"585520144","316968"
"174780263","7670"
"000081211","316945"
"167140921","316945"
"412500934","316945"
"553190979","317541"
"000935907","316995"
"508040554","317541"
"675100303","1792831"
"445770205","316982"
"004091660","1649574"
"685995204","316955"
"422130370","316982"
"636298260","317541"
"106310106","316984"
"636294184","317541"
"684000114","346169"
"700000417","316969"
"581600823","1649574"
"000870403","316968"
"669490107","346285"
"607930851","317541"
"607600671","316965"
"705181456","10312"
"435380610","316965"
"333580230","316965"
"680010246","316942"
"662670937","316964"
"492810631","316950"
"620110357","317541"
"651620758","316969"
"553010470","317541"
"161100518","316985"
"588640162","316965"
"679190020","316965"
"820050322","7067"
"552890572","316945"
"007811262","317541"
"500901490","316968"
"529590736","316982"
"503320112","316992"
"435380176","346286"
"631870823","317541"
"007663072","91058"
"647275450","317541"
"588640779","317541"
"119800011","7670"
"000251525","316965"
"178560576","316968"
"737410112","346165"
"458020485","316984"
"499990910","316943"
"411670952","7067"
"628560276","317541"
"661050745","317541"
"727687010","317541"
"001137994","316965"
"100190553","316987"
"001875465","316983"
